Type of building,Total greenhouse gas emissions per building type [MtCO2eq] - 2030,Total greenhouse gas emissions per building type [MtCO2eq] - 2040,Total greenhouse gas emissions per building type [MtCO2eq] - 2050,Specific greenhouse gas emissions by area and building type [kgCO2eq/(m²a)] - 2030,Specific greenhouse gas emissions by area and building type [kgCO2eq/(m²a)] - 2040,Specific greenhouse gas emissions by area and building type [kgCO2eq/(m²a)] - 2050
Residential buildings,3.72,2.91,2.50,,,,
Family houses,1.92,1.52,1.32,25.80,18.88,15.20
Multi-dwelling buildings,1.80,1.39,1.19,,,,
Non-residential buildings,1.85,1.55,1.41,,,,
Office,0.32,0.26,0.24,,,,
Educational,0.19,0.16,0.14,,,,
Hospitals,0.09,0.08,0.07,,,,
Hotels and restaurants,0.13,0.11,0.10,32.60,26.03,23.24
Sports halls,0.02,0.02,0.01,,,,
Shops,0.39,0.33,0.30,,,,
Other,0.72,0.61,0.55,,,,
TOTAL,5.57,4.46,3.92,27.72,20.88,17.37
