Category,2026-2030 (million EUR),2031-2033 (million EUR),2034-2035 (million EUR),2036-2040 (million EUR),2041-2045 (million EUR),2046-2050 (million EUR)
Housing (comprehensive renovation),5954,1946,1297,8562,13042,12955
of which 43% worst properties,4358,986,1479,6691,9278,9494
Non-residential (renovation),1088,2825,2187,2916,5235,5230
of which worst performance (incl. buildings under Art. 9),531,2186,646,1616,1181,1181
Other needs: admin.capacities ene.poverty OSS solar infrastr.for smart mobility,—,—,—,—,—,—
Total investment needs,7042,4771,4484,11478,18277,18185
Public investment of which,,,,,,
Regional and local funds,,,,,,
National funds,349,,,,,,
871 (SKF and EU funds PKK),,,,,,
Other (description),—,—,—,—,—,—
Private investment of which,,,,,,
Self-financing,,,,,,
Mortgages,,,,,,
Unsecured loans,,,,,,
PPP/Ene.č contract.,,,,,,
Other (description),—,—,—,—,—,—
Total sources,1200,,,,,,
