Building types,Number of buildings (units) January 2021,Number of buildings (units) June 2025,Total building area m2 January 2021,Total building area m2 June 2025
Cultural heritage objects classified as residential buildings,1577,1926,916929,1130530
of which no energy performance classes,,,798529,832826
of which classified as energy performance class A A+ A++,,,0,0
of which classified as energy performance class B and C,,,33952,39810
of which classified in energy performance class D E F G,,,84449,91675
Cultural heritage objects classified as non-residential buildings,2667,3069,2242109,2554340
of which no energy performance classes,,,1422661,1460863
of which classified as energy performance class A A+ A++,,,0,0
of which classified as energy performance class B and C,,,242315,252887
of which classified in energy performance class D E F G,,,577133,641334
Objects of total cultural heritage,4244,4995,2776898,3684870
Buildings belonging to a cultural heritage site which are not considered to be cultural heritage objects and which are classified as residential buildings,16502,16285,5354193,5266723
of which no energy performance classes,,,5354193,5335029
of which classified as energy performance class A A+ A++,,,3706230,3542884
of which classified as energy performance class B and C,,,12778,15495
of which classified in energy performance class D E F G,,,806448,859972
Buildings belonging to a cultural heritage site which are not considered as cultural heritage objects and which are classified as non-residential buildings,7821,7718,3991498,3937042
of which no energy performance classes,,,3991498,3986000
of which classified as energy performance class A A+ A++,,,2330161,2288988
of which classified as energy performance class B and C,,,18263,18691
of which classified in energy performance class D E F G,,,843999,867268
All buildings belonging to a cultural heritage site (not considered as cultural heritage objects),24323,24003,9345693,9203765
