Type of Barrier,Barrier,Resulting From
Policy and Regulatory,Complexity of decision-making for renovation and debt financing of multi-family residential buildings,Decisions regarding modernizations require the approval of 2/3 of all owners. Bank loans for renovation require the written agreement of all owners
Policy and Regulatory,Lack of interest on the part of building decision-makers in financial instruments,Grant culture with 100% grants in prior renovation programs discourages use of financial instruments
Policy and Regulatory,Limited opportunities for participation of homeowners in selection of measures and management/control of program implementation,Renovation program procedures do not provide opportunities for homeowners to participate in management of renovation projects
Policy and Regulatory,Lack of consumption-based billing for district heating customers,"Billing for district heating is generally based on floor area, rather than energy consumption"
Institutional,Poor and inefficient management and lack of professional building management expertise,"Most HOAs do not have sufficient knowledge, experience and capacity for management of renovation projects, and few HOAs have engaged professional facility management companies"
Institutional,Limited administrative and technical capacity in municipalities and regional authorities,"Local and regional authorities face complex application, procurement, and supervision challenges and lack standardized tools, technical specifications, and procedures for facilitation of project identification and implementation"
Institutional,Low awareness and trust among apartment owners regarding renovation,"Limited communication programs regarding procedures, benefits and case studies of building renovation for MABs"
Financial,Lack of programs to address the energy poor,Homeowners who are economically or socially disadvantaged have difficulties in repaying their share of the loan repayments
Financial,Expectation of continued 100% grants,Prior renovation programs provided 100% grants. Homeowners expect that to continue and are not willing to engage in financing programs
Financial,Lack of customized financial products,"Due to the reliance on 100% grants, banks have not invested time and effort in developing financial products for HOAs"
Financial,Limited ability to provide collateral,HOAs cannot provide adequate credit and collateral for bank loans
Financial,Lack of instruments to allow for repayments from cost savings,"Building renovation programs improve energy efficiency and reduce energy consumption and costs. However, there is no mechanism to pay for some or all of the renovation costs from the resulting cost savings."
Market Capacity,Poor structural conditions and inadequate maintenance make renovation more complex,"Many existing buildings have structural inadequacies, some caused by poor maintenance. Fixing the structural issues through remediation makes the renovation process complex and expensive"
