Autonomous Community,No of certificates for new buildings completed,No of certificates for new buildings under project,No of certificates for existing buildings,Buildings unknown,TOTAL,%
Andalusia,11.073,2.262,769.557,4.411,787.303,14.7%
Aragon,730,862,151.261,—,152.853,2.9%
Asturias,1.154,80,119.495,498,121.227,2.3%
Balearic Islands,2.784,680,175.179,1.693,180.336,3.4%
Canary Islands,816,259,158.170,11.974,171.219,3.2%
Cantabria,185,250,81.002,222,81.659,1.5%
Castile-La Mancha,469,16,40.298,54,40.837,0.8%
Castile and Leon,1.793,122,173.543,478,175.936,3.3%
Catalonia,28.496,—,1.191.976,13,1.220.485,22.8%
Ceuta,1,—,2,1,4,0.0%
Autonomous Community,4.321,148,623.596,72,628.137,11.7%
Extremadura,2.536,3.371,51.385,41,57.333,1.1%
Galicia,3.146,408,167.542,1.333,172.429,3.2%
La Rioja,479,125,39.972,—,40.576,0.8%
Madrid,11.505,2.239,1.041.829,6.289,1.061.862,19.8%
Murcia,483,13,69.768,2.497,72.761,1.4%
Navarre,3.520,2.091,111.750,1.110,118.471,2.2%
Basque Country,16.805,1.679,249.161,—,267.645,5.0%
TOTALS,90.296,14.605,5.215.486,30.686,5.351.073,
