Primary energy factors per energy carrier,Non-renewable (fPnren) year X-2 (2023),Renewable (FprEN) year X-2 (2023),Total (fPtot) year X-2 (2023)
Natural gas,1.190,0.005,1.195
Electricity grid (mainland),1.954,0.414,2.368
Electricity grid (non-mainland),2.937,0.075,3.011
Oil,1.179,0.003,1.182
LPG,1.201,0.003,1.204
Coal,1.082,0.002,1.084
Solid biomass,0.085,1.028,1.113
Liquid biomass,0.034,1.003,1.037
Solar FV,0.000,1.000,1.000
Solar thermal,0.000,1.000,1.000
Wind,0.000,1.000,1.000
Hydroelectric,0.000,1.000,1.000
District heating/cooling,Not available,Not available,Not available
Other (please specify),,,
